식품명,에너지(kcal)
머핀_얼그레이 레몬 머핀,378
머핀_잉글리쉬 머핀,236
머핀_잉글리쉬 머핀,199
머핀_초코 바나나 머핀,356
머핀_초코 마들렌,418
머핀_초코 머핀,423
머핀_초코 머핀,400
머핀_초코칩 머핀,382
머핀_초코칩 머핀,376
머핀_초콜릿휘낭시에 글루텐프리,575
머핀_치즈 머핀,401
머핀_치즈 머핀,373
머핀_카러멜 마들렌,394
머핀_크림치즈 머핀,393
머핀_플레인 머핀,446
머핀_피낭시에,385
머핀_휘낭시에 글루텐프리,575
머핀_게랑트쇼콜라 (L),536
머핀_레몬 마들렌,397
머핀_머핀,343
머핀_블루베리 머핀,323
머핀_얼그레이 휘낭시에,527
머핀_초코범벅,429
머핀_초코범벅,429
머핀_초코칩 머핀,603
머핀_치즈 머핀,336
머핀_캐러멜 마들렌,394
머핀_허쉬초코 머핀,440
머핀_헤이즐넛 휘낭시에,527
머핀_휘낭시에 로투스,535
머핀_휘낭시에 소보로,526
머핀_휘낭시에 소시지,667
머핀_휘낭시에 아몬드,556
머핀_휘낭시에 약과,572
머핀_휘낭시에 오레오,563
머핀_휘낭시에 크림치즈,509
머핀_휘낭시에 플레인,447
모닝빵_바로만든모닝빵 (10입),329
모닝빵_부드러운연유브레드,390
모닝빵_순수한맛순우유롤 (봉),323
모닝빵_스위트밀크롤 (1개입),386
모닝빵_스위트밀크롤 (2개입),386
모닝빵_스위트밀크롤 (3개입),386
모닝빵_스위트밀크롤 (4개입),381
모닝빵_스위트밀크롤 (5개입),382
모닝빵_스위트밀크롤 (6개입),383
모닝빵_야채모닝롤 (8입),366
모닝빵_연유퐁당밀크 브레드 (소),436
모닝빵_진한초코브레드,383
모닝빵_폭신폭신우유 브레드,291
모닝빵_한겹한겹촉촉한밀크 브레드,348
모닝빵_혼자서도즐기는연유브레드,391
모닝빵_굿모닝브리오슈,345
모닝빵_우유듬뿍연유브레드,396
모닝빵_우유듬뿍연유브레드 (대),396
모닝빵_초코아몬드브레드,372
바게트_갈릭 바게트볼,327
바게트_갈릭 치즈 부기브레드,369
바게트_달콤한 연유바게뜨,373
바게트_대파 바게트볼,424
바게트_마늘 바게트,425
바게트_마늘모닝바게뜨,324
바게트_마늘바게뜨,330
바게트_마늘 바게트,377
바게트_마늘빵 (5개입),350
바게트_마롱깜파뉴,243
바게트_모닝바게뜨,258
바게트_무화과크림 바게트,405
바게트_미엘프로마쥬,278
바게트_반미마늘스틱,405
바게트_반미바게뜨,246
바게트_순수바게트,264
바게트_자꾸 생각나는 갈릭바게뜨,444
바게트_치즈바게뜨,305
바게트_크랜베리 로프,249
바게트_크랜베리윌넛,414
바게트_크림치즈모닝바게뜨 (H),292
바게트_크림치즈모닝바게뜨,292
바게트_토마토 치즈 부기브레드,247
바게트_통검정보리브레드,217
바게트_통밀깜파뉴,241
바게트_파리의 갈릭바게뜨,429
바게트_파리의 바게뜨,265
바게트_프렌치마늘바게뜨,323
바게트_프렌치바게뜨,252
바게트_피자바게트,213
바게트_피자 바게트,297
바게트_허니바게트볼,370
바게트_허니버터 바게트볼,66
바게트_NEW 모닝바게뜨,258
바게트_NEW마늘바게뜨,308
바게트_갈릭바게뜨,375
바게트_꿀버터 바게트,363
바게트_달콤바삭연유바게뜨,374
바게트_명란바게뜨,350
바게트_바게트_바게트볼,390
바게트_스위트깜빠뉴,264
바게트_쌀모닝 바게트 (2개입),327
바게트_정통바게뜨,255
바게트_콘에그바게뜨,265
버거_1955 버거,217
버거_NBB 시그니처 버거,249
버거_NBB 어메이징 버거,257
버거_NBB 오리지널 버거,232
버거_간장마늘싸이 버거,248
버거_그릴드불고기 버거,260
버거_기네스머쉬룸와퍼 버거,237
버거_기네스와퍼 버거,266
버거_기네스콰트로치 와퍼 버거,270
버거_내슈빌핫치킨 버거,251
버거_뉴욕 버거,234
버거_다이어트싱글 버거,110
버거_더블X2 버거,320
버거_더블불고기 버거,268
